Output Freq,Input Freq,Offset,Uplink Tone,Downlink Tone,Call,Location,County,State,Modes,Digital Access
1287.1,1267.1,-,,,KE0MVE,Ramsey,Anoka,Minnesota,DSTAR ,
1287,1267,-,,,W0ANA,Ham Lake,Anoka,Minnesota,DSTAR ,
1285.5,1265.5,-,,,KA0JSW,White Bear Lake,Ramsey,Minnesota,DSTAR ,
1285,1265,-,,,W0MR,Maplewood,Ramsey,Minnesota,FM ,
1283.5,1263.5,-,,,KD0JOS,Chaska,Carver,Minnesota,DSTAR ,
1283.3,1271.3,-,,,KD0JOU,Maple Plain,Hennepin,Minnesota,DSTAR ,
1282.5,1262.5,-,,,KD0JOT,Chaska,Carver,Minnesota,DSTAR ,
1253.25,1233.25,-,,,N0MNB,New Brighton,Ramsey,Minnesota,FM ,
1250,427.25,s,,,N0MNB,New Brighton,Ramsey,Minnesota,ATV ,
927.925,902.925,-,162.2,162.2,NH7CY,Saint Paul - Como Park,Ramsey,Minnesota,FM AllStar DMR P-25 ,11700
927.9,902.9,-,162.2,162.2,NH7CY,Saint Paul,Ramsey,Minnesota,FM DMR P-25 ,11700
927.6,902.6,-,114.8,,KB0QYC,Duluth,St Louis,Minnesota,FM ,
927.4875,902.4875,-,103.5,,KB0QYC,Duluth,St Louis,Minnesota,FM ,
926.975,914.975,-,123,123,KB0FAE,Wolf Lake,Becker,Minnesota,FM ,
919.1,444.95,s,CSQ,,K0LAV,Gem Lake,Ramsey,Minnesota,FM ,
910.25,885.25,-,,,N0MNB,New Brighton,Ramsey,Minnesota,ATV ,
444.975,449.975,+,114.8,114.8,K0MSP,Ramsey,Anoka,Minnesota,FM EchoLink Fusion ,
444.975,449.975,+,123,123,KB0ISW,Karlstad,Kittson,Minnesota,FM AllStar EchoLink ,
444.975,449.975,+,100,,WA0YCT,Glenville,Freeborn,Minnesota,FM ,
444.95,449.95,+,114.8,,AB0BW,Rochester,Olmsted,Minnesota,FM Fusion WIRES-X ,
444.95,449.95,+,114.8,,K0LAV,Gem Lake,Ramsey,Minnesota,FM ,
444.95,449.95,+,123,123,NI0K,Bemidji,Beltrami,Minnesota,FM AllStar EchoLink ,
444.925,449.925,+,141.3,141.3,W0UJ,Crosby - Cuyuna Recreation Area,Crow Wing,Minnesota,Fusion WIRES-X ,
444.925,449.925,+,,,N0BVE,Bloomington,Hennepin,Minnesota,DMR ,11
444.875,449.875,+,123,,W0ILO,Moorhead,Clay,Minnesota,FM ,
444.85,449.85,+,141.3,141.3,W0DRK,Worthington,Nobles,Minnesota,FM Fusion ,
444.85,449.85,+,114.8,,KG0BP,Edina,Hennepin,Minnesota,FM ,
444.85,449.85,+,,,KD0YLG,Cold Spring,Stearns,Minnesota,DSTAR ,
444.85,449.85,+,141.3,141.3,AA0AC,Cloquet,Carlton,Minnesota,AllStar ,
444.825,449.825,+,,,W0MR,Maplewood,Ramsey,Minnesota,Fusion WIRES-X ,
444.8,449.8,+,146.2,,KB0MNU,Willmar,Kandiyohi,Minnesota,FM ,
444.8,449.8,+,,,WB0WTI,Thief River Falls,Pennington,Minnesota,DMR ,6
444.8,449.8,+,114.8,114.8,WD0HWT,Saint Paul,Ramsey,Minnesota,FM ,
444.775,449.775,+,114.8,114.8,K0YTH,Robbinsdale,Hennepin,Minnesota,FM ,
444.75,449.75,+,114.8,,K0FCC,Columbia Heights,Anoka,Minnesota,FM ,
444.75,449.75,+,CSQ,CSQ,N0WN,Bertha - Water Tower,Todd,Minnesota,FM EchoLink ,
444.725,449.725,+,100,,K5DCC,Minneapolis,Hennepin,Minnesota,FM AllStar ,
444.725,449.725,+,100,,N0KEW,Little Canada,Ramsey,Minnesota,FM AllStar ,
444.7,449.7,+,146.2,,K0SCA,Princeton,Mille Lacs,Minnesota,FM ,
444.7,449.7,+,100,100,KB0IOA,Faribault,Rice,Minnesota,Fusion WIRES-X ,
444.675,449.675,+,136.5,,KB0NLY,Tyler,Lincoln,Minnesota,FM EchoLink Fusion ,
444.675,449.675,+,123,123,KB0UGF,Twin Valley - Frenchmans Bluff,Norman,Minnesota,FM NXDN ,
444.675,449.675,+,100,,W0WCL,Mankato,Blue Earth,Minnesota,FM ,
444.65,449.65,+,114.8,114.8,N0BVE,Minneapolis,Hennepin,Minnesota,FM AllStar EchoLink P-25 ,331
444.625,449.625,+,D172,D172,N0ANC,Paynesville,Stearns,Minnesota,FM Fusion WIRES-X ,
444.625,449.625,+,,,KD0ZSA,Faribault,Rice,Minnesota,DSTAR ,
444.6,449.6,+,131.8,131.8,N9ETD,Reno,Houston,Minnesota,FM ,
444.6,449.6,+,,,N0KP,Cologne,Carver,Minnesota,FM ,
444.575,449.575,+,146.2,,KB0QYC,Hinckley,Pine,Minnesota,FM ,
444.575,449.575,+,136.5,,N0PQK,Faribault - Downtown,Rice,Minnesota,FM ,
444.55,449.55,+,123,,K0GPZ,Grand Rapids,Itasca,Minnesota,FM ,
444.525,449.525,+,141.3,,KB0CGJ,Wabasso,Redwood,Minnesota,FM DMR EchoLink ,10
444.525,449.525,+,D025,D025,W0MDT,Mounds View - Medtronic,Ramsey,Minnesota,FM Fusion WIRES-X ,
444.525,449.525,+,D172,D172,W0VGW,Chatfield,Fillmore,Minnesota,FM AllStar ,
444.5,449.5,+,127.3,127.3,W0PZT,Plymouth,Hennepin,Minnesota,FM ,
444.5,449.5,+,146.2,,NY0I,Ortonville,Big Stone,Minnesota,FM Fusion ,
444.475,449.475,+,103.5,103.5,W0RRC,Richfield,Hennepin,Minnesota,FM Fusion ,
444.45,449.45,+,100,,WB0VAK,Owatonna,Steele,Minnesota,FM Fusion WIRES-X ,
444.425,449.425,+,D025,D025,KA0KMJ,Minneapolis - UMN,Hennepin,Minnesota,FM ,
444.4,449.4,+,103.5,,NG0W,Morris,Stevens,Minnesota,FM IRLP ,
444.4,449.4,+,77,77,KD0ORH,Coon Rapids,Anoka,Minnesota,FM P-25 ,293
444.375,449.375,+,114.8,,N0FWG,Maple Plain,Hennepin,Minnesota,FM ,
444.375,449.375,+,156.7,114.8,N0FWG,Buffalo,Wright,Minnesota,FM ,
444.35,449.35,+,D172,,KC0CAP,Litchfield,Meeker,Minnesota,FM AllStar ,
444.35,449.35,+,136.5,,N0PBA,Fairmont,Martin,Minnesota,FM ,
444.35,449.35,+,114.8,114.8,KE6WA,Eden Prairie,Hennepin,Minnesota,FM ,
444.325,449.325,+,131.8,,N0BVE,Bloomington,Hennepin,Minnesota,FM AllStar EchoLink ,
444.3,449.3,+,103.5,,N0EO,Duluth,St Louis,Minnesota,FM ,
444.3,449.3,+,114.8,114.8,W0BU,Burnsville,Dakota,Minnesota,FM Fusion WIRES-X ,
444.275,449.275,+,,,W0KXZ,Litchfield,Meeker,Minnesota,DSTAR ,
444.25,449.25,+,136.5,136.5,KD0ORR,Racine,Olmsted,Minnesota,FM EchoLink ,
444.25,449.25,+,151.4,,W0BBN,Grand Marais,Cook,Minnesota,FM ,
444.23125,449.23125,+,,,KF0CQX,Little Falls - Lindbergh Park,Morrison,Minnesota,DMR ,1
444.23125,449.23125,+,,,N0DZQ,Hugo,Washington,Minnesota,DMR ,3
444.225,449.225,+,100,100,W0NE,Winona,Winona,Minnesota,FM Fusion ,
444.225,449.225,+,136.5,136.5,KC0LSR,Le Center - Courthouse,Le Sueur,Minnesota,FM Fusion WIRES-X ,
444.2,449.2,+,,,NH7CY,Minneapolis - UMN,Hennepin,Minnesota,DMR ,11
444.2,449.2,+,151.4,151.4,K0QIK,Fergus Falls,Otter Tail,Minnesota,FM AllStar ,
444.2,449.2,+,127.3,,WC0HC,Edina,Hennepin,Minnesota,FM ,
444.2,449.2,+,103.5,,KC0RTX,Duluth,St Louis,Minnesota,FM ,
444.175,449.175,+,127.3,,WC0HC,Golden Valley,Hennepin,Minnesota,FM ,
444.15,449.15,+,D025,D025,N0ANE,Saint Peter - Water Tower,Nicollet,Minnesota,FM Fusion WIRES-X ,
444.15,449.15,+,114.8,,KB0CIM,Cohasset,Itasca,Minnesota,FM ,
444.125,449.125,+,114.8,,W0EF,Edina,Hennepin,Minnesota,FM ,
444.1,449.1,+,114.8,114.8,W0EF,Saint Louis Park,Hennepin,Minnesota,FM EchoLink Fusion ,
444.1,449.1,+,,,W0GKP,Duluth,St Louis,Minnesota,FM ,
444.075,449.075,+,D023,D023,K9EQ,Mounds View - Medtronic,Ramsey,Minnesota,FM Fusion WIRES-X ,
444.05,449.05,+,,114.8,N0GOI,Saint Paul,Ramsey,Minnesota,FM ,
444.025,449.025,+,141.3,141.3,KD0IAI,Wanda,Redwood,Minnesota,FM AllStar ,
444.025,449.025,+,71.9,71.9,W0BJI,Bemidji,Beltrami,Minnesota,FM ,
444,449,+,,,KA0JSW,White Bear Lake,Ramsey,Minnesota,DSTAR ,
444,449,+,,,W0REA,Little Falls,Morrison,Minnesota,DSTAR ,
443.975,448.975,+,,,KB0ISW,Karlstad,Kittson,Minnesota,DMR ,6
443.975,448.975,+,114.8,114.8,W0ICR,Isanti,Isanti,Minnesota,FM Fusion ,
443.95,448.95,+,,,N0NKI,White Bear Lake - Benson Airport,Ramsey,Minnesota,DMR ,1
443.925,448.925,+,110.9,110.9,W0UJ,Nisswa - WJJY Tower,Crow Wing,Minnesota,FM WIRES-X ,
443.925,448.925,+,,,K6ZC,Fairmont,Martin,Minnesota,DSTAR ,
443.925,448.925,+,,114.8,KB0FXK,Carver,Carver,Minnesota,FM EchoLink Fusion ,
443.875,448.875,+,136.5,136.5,KE0YJJ,Roscoe Center,Goodhue,Minnesota,FM AllStar EchoLink ,
443.86875,448.86875,+,,,KF0KYZ,Isanti,Isanti,Minnesota,DMR ,3
443.85,448.85,+,D172,D172,KD0YLG,Saint Cloud,Stearns,Minnesota,FM AllStar EchoLink Fusion ,
443.85,448.85,+,,,W0MXW,Rochester,Olmsted,Minnesota,DSTAR ,
443.825,448.825,+,141.3,141.3,KC0QNA,Green Isle - Water Tower,Sibley,Minnesota,FM P-25 ,293
443.8,448.8,+,,,,Warren,Polk,Minnesota,FM ,
443.8,448.8,+,114.8,114.8,KB0FJB,Minneapolis,Hennepin,Minnesota,FM AllStar EchoLink ,
443.8,448.8,+,146.2,146.2,KC0CAP,Litchfield,Meeker,Minnesota,FM P-25 ,293
443.775,448.775,+,,,W0ANA,Ham Lake,Anoka,Minnesota,DSTAR ,
443.775,448.775,+,123,,KB0BSJ,Crookston,Polk,Minnesota,FM ,
443.75,448.75,+,,,WA0CJU,Waseca - EOC,Waseca,Minnesota,FM ,
443.725,448.725,+,,,KD0TGF,Medford,Steele,Minnesota,DMR ,2
443.7,448.7,+,,,K1LEO,Rockford,Wright,Minnesota,DMR ,1
443.7,448.7,+,,,W0WX,Marshall - Avera Marshall Reg Med Ctr,Lyon,Minnesota,DMR ,1
443.675,448.675,+,114.8,,N0GOI,Foreston,Mille Lacs,Minnesota,FM ,
443.65,448.65,+,114.8,,K2KLN,Mankato,Blue Earth,Minnesota,FM P-25 ,555
443.65,448.65,+,85.4,85.4,KG0CV,Avon,Stearns,Minnesota,FM Fusion WIRES-X ,
443.625,448.625,+,,,K0GOI,Centerville,Anoka,Minnesota,DMR ,11
443.6,448.6,+,114.8,,N0JDH,Big Lake,Sherburne,Minnesota,FM ,
443.55,448.55,+,192.8,,KE0UAV,Silica - Beauty Mtn,Aitkin,Minnesota,FM DSTAR ,
443.55,448.55,+,114.8,,K0LTC,Maple Grove,Hennepin,Minnesota,FM ,
443.5,448.5,+,141.3,,KB0QYC,Gilbert,St Louis,Minnesota,FM ,
443.5,448.5,+,,,N0RZO,Austin,Mower,Minnesota,FM ,
443.475,448.475,+,D172,D172,KD0YLG,Becker - Excel Energy Power Plant,Sherburne,Minnesota,FM Fusion WIRES-X ,
443.45,448.45,+,123,123,K0VSC,Saint Cloud,Stearns,Minnesota,FM ,
443.425,448.425,+,,,N0YNT,Oakdale,Washington,Minnesota,FM DMR ,1
443.4,448.4,+,146.2,,KB0WJP,Silver Lake,McLeod,Minnesota,FM P-25 ,293
443.35,448.35,+,114.8,,W8WRR,Saint Paul,Ramsey,Minnesota,FM DSTAR ,
443.35,448.35,+,,,K0WPD,Clara City,Chippewa,Minnesota,DMR ,3
443.325,448.325,+,146.2,,KB0QYC,Isanti,Isanti,Minnesota,FM ,
443.25,448.25,+,D023,D023,W0MDT,Dayton,Hennepin,Minnesota,FM Fusion WIRES-X ,
443.225,448.225,+,,,KC0FTV,Bemidji,Beltrami,Minnesota,DMR ,6
443.2,448.2,+,,,N0AGI,Medina,Hennepin,Minnesota,DMR ,11
443.175,448.175,+,D165,D165,KD0CL,Bloomington - City Hall,Hennepin,Minnesota,FM Fusion ,
443.15,448.15,+,,,K0LTZ,White Bear Lake,Ramsey,Minnesota,DMR ,11
443.125,448.125,+,,,N0BVE,Burnsville - Buck Hill,Dakota,Minnesota,DMR ,1
443.1,448.1,+,103.5,,KB0YHX,Cloquet,Carlton,Minnesota,FM Fusion ,
443.1,448.1,+,,,N0NKI,Bloomington,Hennepin,Minnesota,DMR ,1
443.075,448.075,+,141.3,141.3,KC0QNA,Arlington - Fire Station,Sibley,Minnesota,FM DSTAR ,
443.05,448.05,+,118.8,,N0SBU,Hugo,Washington,Minnesota,FM ,
443.025,448.025,+,114.8,114.8,KE0RTF,Blue Earth,Faribault,Minnesota,FM Fusion ,
443,448,+,,,N0MHO,Warroad,Roseau,Minnesota,DMR ,1
443,448,+,100,100,KA0KMJ,Minnetonka,Hennepin,Minnesota,FM EchoLink ,
443,448,+,118.8,118.8,N0YNT,Minneapolis - UMN,Hennepin,Minnesota,FM ,
442.975,447.975,+,D612,D612,KD9RFH,Stillwater - Allen S King Plant,Washington,Minnesota,FM P-25 ,145
442.95,447.95,+,114.8,,W1AFV,Minneapolis,Hennepin,Minnesota,FM DSTAR ,
442.9,447.9,+,,,KD0JOV,Bloomington,Hennepin,Minnesota,DSTAR ,
442.875,447.875,+,,,KB0UPW,Little Canada,Ramsey,Minnesota,DMR ,11
442.85,447.85,+,,,KA0KMJ,Brooklyn Park - Fleet Farm,Hennepin,Minnesota,DMR ,1
442.825,447.825,+,,,N0GOI,Woodbury - Woodwinds Hospital,Washington,Minnesota,DMR ,11
442.825,447.825,+,136.5,,WA2OFZ,Mankato,Blue Earth,Minnesota,FM Fusion ,
442.8,447.8,+,,,KB0QYC,Duluth,St Louis,Minnesota,FM ,
442.725,447.725,+,110.9,110.9,W0TRJ,Aitkin,Aitkin,Minnesota,P-25 WIRES-X ,293
442.65,447.65,+,,,N0BVE,Minneapolis - Riverview Apts,Hennepin,Minnesota,DMR ,2
442.625,447.625,+,146.2,146.2,N0WT,Foley,Benton,Minnesota,FM Fusion ,
442.6,447.6,+,156.7,156.7,AA0SA,Maplewood - 3M,Ramsey,Minnesota,FM ,
442.575,447.575,+,,,NH7CY,Saint Paul,Dakota,Minnesota,DMR ,1
442.55,447.55,+,114.8,,KC0NPA,Saint Paul - Dakota Co Northern Service Ctr,Dakota,Minnesota,FM ,
442.525,447.525,+,,,KE0MVE,Ramsey,Anoka,Minnesota,DSTAR ,
442.525,447.525,+,136.5,136.5,K0JCR,Mankato  - Good Counsel Hill,Blue Earth,Minnesota,FM WIRES-X ,
442.5,447.5,+,D351,D351,K9MLS,Saint Paul,Ramsey,Minnesota,FM AllStar EchoLink P-25 ,455
442.5,447.5,+,,,W9YZI,Princeton,Mille Lacs,Minnesota,DMR ,3
442.5,447.5,+,146.2,146.2,W9YZI,Princeton,Mille Lacs,Minnesota,FM Fusion ,
442.5,447.5,+,D065,D065,W0JPJ,Moorhead,Clay,Minnesota,FM Fusion WIRES-X ,
442.475,447.475,+,,,N0BVE,Red Wing,Goodhue,Minnesota,DMR ,2
442.45,447.45,+,114.8,,K0AGF,Maplewood,Ramsey,Minnesota,FM Fusion ,
442.425,447.425,+,114.8,114.8,W0YC,Saint Paul - UMN,Hennepin,Minnesota,FM AllStar ,
442.4,447.4,+,100,100,KE0SKN,Kasson,Dodge,Minnesota,FM ,
442.35,447.35,+,,,KD0WSF,Eden Prairie,Hennepin,Minnesota,DSTAR ,
442.325,447.325,+,,,KC0ARX,Saint Cloud,Stearns,Minnesota,DMR ,3
442.3,447.3,+,141.3,,KB0UJL,Waseca,Waseca,Minnesota,FM ,
442.3,447.3,+,,,WJ0U,Cold Spring,Stearns,Minnesota,DMR ,3
442.275,447.275,+,D125,D125,W0ICR,Isanti,Isanti,Minnesota,FM DSTAR ,
442.25,447.25,+,136.5,136.5,AA0RW,Red Wing,Goodhue,Minnesota,FM Fusion WIRES-X ,
442.225,447.225,+,118.8,,KC0FTV,Pinewood,Beltrami,Minnesota,FM EchoLink ,
442.225,447.225,+,D172,D172,W0SV,Collegeville,Stearns,Minnesota,FM Fusion ,
442.2,447.2,+,,,N0EO,Duluth,St Louis,Minnesota,DSTAR ,
442.2,447.2,+,114.8,,N0WSP,Burnsville,Dakota,Minnesota,FM Fusion ,
442.175,447.175,+,,,N0AGI,Faribault,Rice,Minnesota,DMR ,1
