Frequency Output,Frequency Input,FCC Callsign,Agency/Category,Description,Alpha Tag,PL Output Tone,PL Input Tone,Mode,Class Station Code,Tag,Airport,Service
118.7,0,,,Minneapolis-St. Paul Intl - Tower,MSP Tower,CSQ,,AM,BM,Airport,KMSP,Tower
121.9,0,,,Minneapolis-St. Paul Intl - Ground,MSP Ground,CSQ,,AM,BM,Airport,KMSP,Ground
133.4,0,,,Minneapolis Approach (East),MSP Approach E,CSQ,,AM,BM,Airport,KMSP,Approach
126.7,0,,,Minneapolis Approach (West),MSP Approach W,CSQ,,AM,BM,Airport,KMSP,Approach
119.1,0,,,Minneapolis Departure (East),MSP Departure E,CSQ,,AM,BM,Airport,KMSP,Departure
120.7,0,,,Minneapolis Departure (West),MSP Departure W,CSQ,,AM,BM,Airport,KMSP,Departure
135.4,0,,,Minneapolis Clearance Delivery,MSP Clearance,CSQ,,AM,BM,Airport,KMSP,Clearance
128.15,0,,,Minneapolis ATIS,MSP ATIS,CSQ,,AM,BM,Airport,KMSP,ATIS
121.0,0,,,Minneapolis Ground Metering,MSP Ground Met,CSQ,,AM,BM,Airport,KMSP,Ground
119.65,0,,,St. Cloud Regional - Tower,STC Tower,CSQ,,AM,BM,Airport,KSTC,Tower
121.7,0,,,St. Cloud Regional - Ground,STC Ground,CSQ,,AM,BM,Airport,KSTC,Ground
118.45,0,,,St. Cloud Regional - ATIS,STC ATIS,CSQ,,AM,BM,Airport,KSTC,ATIS
121.35,0,,,Duluth International - Tower,DLH Tower,CSQ,,AM,BM,Airport,KDLH,Tower
121.9,0,,,Duluth International - Ground,DLH Ground,CSQ,,AM,BM,Airport,KDLH,Ground
119.3,0,,,Duluth Approach,DLH Approach,CSQ,,AM,BM,Airport,KDLH,Approach
125.35,0,,,Duluth Departure,DLH Departure,CSQ,,AM,BM,Airport,KDLH,Departure
126.85,0,,,Duluth ATIS,DLH ATIS,CSQ,,AM,BM,Airport,KDLH,ATIS
118.3,0,,,Rochester International - Tower,RST Tower,CSQ,,AM,BM,Airport,KRST,Tower
121.7,0,,,Rochester International - Ground,RST Ground,CSQ,,AM,BM,Airport,KRST,Ground
124.6,0,,,Rochester ATIS,RST ATIS,CSQ,,AM,BM,Airport,KRST,ATIS
122.8,0,,,Flying Cloud - Tower,FCM Tower,CSQ,,AM,BM,Airport,KFCM,Tower
121.75,0,,,Flying Cloud - Ground,FCM Ground,CSQ,,AM,BM,Airport,KFCM,Ground
118.85,0,,,Flying Cloud - ATIS,FCM ATIS,CSQ,,AM,BM,Airport,KFCM,ATIS
120.3,0,,,Crystal - Tower,MIC Tower,CSQ,,AM,BM,Airport,KMIC,Tower
121.7,0,,,Crystal - Ground,MIC Ground,CSQ,,AM,BM,Airport,KMIC,Ground
124.65,0,,,Anoka County (Blaine) - Tower,ANE Tower,CSQ,,AM,BM,Airport,KANE,Tower
121.8,0,,,Anoka County - Ground,ANE Ground,CSQ,,AM,BM,Airport,KANE,Ground
125.05,0,,,Anoka County - ATIS,ANE ATIS,CSQ,,AM,BM,Airport,KANE,ATIS
122.95,0,,,South St. Paul - CTAF/UNICOM,SGS UNICOM,CSQ,,AM,BM,Airport,KSGS,UNICOM
122.8,0,,,Brainerd Lakes Regional - CTAF,BRD CTAF,CSQ,,AM,BM,Airport,KBRD,CTAF
123.0,0,,,Brainerd Lakes - UNICOM,BRD UNICOM,CSQ,,AM,BM,Airport,KBRD,UNICOM
118.425,0,,,Brainerd Lakes - ATIS,BRD ATIS,CSQ,,AM,BM,Airport,KBRD,ATIS
