Output Freq,Input Freq,Offset,Uplink Tone,Downlink Tone,Call,Location,County,State,Modes,Digital Access
444.975,449.975,+,114.8,114.8,K0MSP,Ramsey,Anoka,Minnesota,FM EchoLink Fusion ,
444.95,449.95,+,114.8,,AB0BW,Rochester,Olmsted,Minnesota,FM Fusion WIRES-X ,
444.925,449.925,+,141.3,141.3,W0UJ,Crosby - Cuyuna Recreation Area,Crow Wing,Minnesota,Fusion WIRES-X ,
444.85,449.85,+,141.3,141.3,W0DRK,Worthington,Nobles,Minnesota,FM Fusion ,
444.825,449.825,+,,,W0MR,Maplewood,Ramsey,Minnesota,Fusion WIRES-X ,
444.7,449.7,+,100,100,KB0IOA,Faribault,Rice,Minnesota,Fusion WIRES-X ,
444.675,449.675,+,136.5,,KB0NLY,Tyler,Lincoln,Minnesota,FM EchoLink Fusion ,
444.625,449.625,+,D172,D172,N0ANC,Paynesville,Stearns,Minnesota,FM Fusion WIRES-X ,
444.525,449.525,+,D025,D025,W0MDT,Mounds View - Medtronic,Ramsey,Minnesota,FM Fusion WIRES-X ,
444.5,449.5,+,146.2,,NY0I,Ortonville,Big Stone,Minnesota,FM Fusion ,
444.475,449.475,+,103.5,103.5,W0RRC,Richfield,Hennepin,Minnesota,FM Fusion ,
444.45,449.45,+,100,,WB0VAK,Owatonna,Steele,Minnesota,FM Fusion WIRES-X ,
444.3,449.3,+,114.8,114.8,W0BU,Burnsville,Dakota,Minnesota,FM Fusion WIRES-X ,
444.225,449.225,+,100,100,W0NE,Winona,Winona,Minnesota,FM Fusion ,
444.225,449.225,+,136.5,136.5,KC0LSR,Le Center - Courthouse,Le Sueur,Minnesota,FM Fusion WIRES-X ,
444.15,449.15,+,D025,D025,N0ANE,Saint Peter - Water Tower,Nicollet,Minnesota,FM Fusion WIRES-X ,
444.1,449.1,+,114.8,114.8,W0EF,Saint Louis Park,Hennepin,Minnesota,FM EchoLink Fusion ,
444.075,449.075,+,D023,D023,K9EQ,Mounds View - Medtronic,Ramsey,Minnesota,FM Fusion WIRES-X ,
443.975,448.975,+,114.8,114.8,W0ICR,Isanti,Isanti,Minnesota,FM Fusion ,
443.925,448.925,+,,114.8,KB0FXK,Carver,Carver,Minnesota,FM EchoLink Fusion ,
443.85,448.85,+,D172,D172,KD0YLG,Saint Cloud,Stearns,Minnesota,FM AllStar EchoLink Fusion ,
443.65,448.65,+,85.4,85.4,KG0CV,Avon,Stearns,Minnesota,FM Fusion WIRES-X ,
443.475,448.475,+,D172,D172,KD0YLG,Becker - Excel Energy Power Plant,Sherburne,Minnesota,FM Fusion WIRES-X ,
443.25,448.25,+,D023,D023,W0MDT,Dayton,Hennepin,Minnesota,FM Fusion WIRES-X ,
443.175,448.175,+,D165,D165,KD0CL,Bloomington - City Hall,Hennepin,Minnesota,FM Fusion ,
443.1,448.1,+,103.5,,KB0YHX,Cloquet,Carlton,Minnesota,FM Fusion ,
443.025,448.025,+,114.8,114.8,KE0RTF,Blue Earth,Faribault,Minnesota,FM Fusion ,
442.825,447.825,+,136.5,,WA2OFZ,Mankato,Blue Earth,Minnesota,FM Fusion ,
442.625,447.625,+,146.2,146.2,N0WT,Foley,Benton,Minnesota,FM Fusion ,
442.5,447.5,+,146.2,146.2,W9YZI,Princeton,Mille Lacs,Minnesota,FM Fusion ,
442.5,447.5,+,D065,D065,W0JPJ,Moorhead,Clay,Minnesota,FM Fusion WIRES-X ,
442.45,447.45,+,114.8,,K0AGF,Maplewood,Ramsey,Minnesota,FM Fusion ,
442.25,447.25,+,136.5,136.5,AA0RW,Red Wing,Goodhue,Minnesota,FM Fusion WIRES-X ,
442.225,447.225,+,D172,D172,W0SV,Collegeville,Stearns,Minnesota,FM Fusion ,
442.2,447.2,+,114.8,,N0WSP,Burnsville,Dakota,Minnesota,FM Fusion ,
442.15,447.15,+,100,100,W0NE,Winona,Winona,Minnesota,FM Fusion ,
442.15,447.15,+,D172,D172,N0ANC,Saint Cloud - St Cloud Hospital,Stearns,Minnesota,FM AllStar Fusion WIRES-X ,
442.025,447.025,+,146.2,146.2,W0ALX,Alexandria,Douglas,Minnesota,FM Fusion ,
147.36,147.96,+,141.3,141.3,W0DRK,Fulda,Murray,Minnesota,FM Fusion ,
147.345,147.945,+,D172,D172,KD0YLG,Becker - Excel Energy Power Plant,Sherburne,Minnesota,FM AllStar EchoLink IRLP Fusion ,
147.225,147.825,+,141.3,,W0UJ,Crosby,Crow Wing,Minnesota,FM Fusion ,
147.195,147.795,+,151.4,151.4,K0VRC,Ely - Water Tower,St Louis,Minnesota,FM EchoLink Fusion WIRES-X ,
147.15,147.75,+,151.4,,NT0B,Gilbert - Water Tower,St Louis,Minnesota,FM Fusion ,
147.135,147.735,+,100,,N0ANE,Saint Peter,Nicollet,Minnesota,FM Fusion ,
147.12,147.72,+,146.2,146.2,NY0I,Montevideo,Chippewa,Minnesota,FM Fusion ,
147.12,147.72,+,,,N0AGX,Hibbing - Water Tower,St Louis,Minnesota,FM Fusion ,
147.105,147.705,+,,,WB0VAJ,Owatonna,Steele,Minnesota,FM EchoLink Fusion ,
147.06,147.66,+,D026,D026,W0JH,Stillwater,Washington,Minnesota,FM Fusion ,
146.97,146.37,-,131.8,131.8,W9UP,La Crescent,Houston,Minnesota,FM Fusion WIRES-X ,
146.955,146.355,-,141.3,,W0UJ,Nisswa - WJJY Tower,Crow Wing,Minnesota,FM Fusion ,
146.955,146.355,-,141.3,141.3,W0WX,Marshall - Avera Marshall Reg Med Ctr,Lyon,Minnesota,FM Fusion WIRES-X ,
146.94,146.34,-,141.3,141.3,WA0CJU,Waseca - Water Tower,Waseca,Minnesota,FM Fusion WIRES-X ,
146.88,146.28,-,100,,WA0RAX,Glenville,Freeborn,Minnesota,FM Fusion ,
146.88,146.28,-,CSQ,,K0EPR,Eden Prairie,Hennepin,Minnesota,FM EchoLink Fusion ,
146.835,146.235,-,131.8,131.8,W0NE,Winona,Winona,Minnesota,FM Fusion ,
146.79,146.19,-,141.3,141.3,W0DRK,Slayton - DOT on Hwy 59,Murray,Minnesota,FM Fusion ,
146.79,146.19,-,146.2,146.2,W0ALX,Alexandria,Douglas,Minnesota,FM Fusion ,
146.73,146.13,-,146.2,,K0LQP,Madison,Lac Qui Parle,Minnesota,FM Fusion ,
146.67,146.07,-,141.3,,K0QBI,Worthington,Nobles,Minnesota,FM Fusion ,
146.655,146.055,-,127.3,127.3,KB0ISW,Karlstad,Kittson,Minnesota,FM Fusion WIRES-X ,
146.64,146.04,-,100,100,W0NE,Winona,Winona,Minnesota,FM Fusion ,
146.625,146.025,-,100,100,W0MXW,Rochester - Mayo Clinic,Olmsted,Minnesota,FM Fusion WIRES-X ,
146.61,146.01,-,136.5,,WB0ERN,Le Sueur,Le Sueur,Minnesota,FM Fusion ,
145.39,144.79,-,D047,D047,W0RRC,Richfield,Hennepin,Minnesota,FM Fusion ,
145.25,144.65,-,D172,,KC0CAP,Litchfield,Meeker,Minnesota,FM Fusion WIRES-X ,
145.25,144.65,-,,,KB0YHX,"Cloquet, MN - Community Memorial Hospital",Carlton,Minnesota,Fusion ,
145.23,144.63,-,114.8,114.8,N0BVE,Chaska,Carver,Minnesota,FM Fusion WIRES-X ,
145.19,144.59,-,D172,D172,N0ANC,Saint Cloud - Water Tower,Stearns,Minnesota,FM Fusion WIRES-X ,
145.15,144.55,-,CSQ,CSQ,W0JPJ,Moorhead,Clay,Minnesota,FM DMR Fusion WIRES-X ,6
