Frequency Output,Frequency Input,FCC Callsign,Agency/Category,Description,Alpha Tag,PL Output Tone,PL Input Tone,Mode,Class Station Code,Tag
119.85,0,,,Charlie: Air-Air,CHARLIE AA,CSQ,,FM,M,Emergency Ops
119.9,0,,,Bravo: Air-Air,BRAVO AA,CSQ,,FM,M,Emergency Ops
120.125,0,,,Air-Ground: Air Tanker Base Ops Within 10 Miles of Base,TANK BASE AG,CSQ,,AM,BM,Emergency Ops
122.925,0,,,Air-Air & Air-Ground Nat Res,NAT REC AG,CSQ,,FM,BM,Emergency Ops
123.025,0,,,MNICS Air-Air All Risk,MNICS AA,CSQ,,FM,M,Emergency Ops
124.65,0,,,Alpha: Air-Air,ALPHA AA,CSQ,,FM,M,Emergency Ops
144.39,0,,,HV APRS,HV APRS,CSQ,,FM,BM,Data
144.95,0,,,HV DATA,HV DATA,CSQ,,FM,BM,Data
145.67,0,,,HV PACKET,HV PACKET,CSQ,,FM,BM,Data
146.415,0,,,HV BRAVO,HV BRAVO,203.5 PL,,FM,BM,Ham
146.445,0,,,HV INDIA,HV INDIA,203.5 PL,,FM,BM,Ham
146.475,0,,,HV FOXTROT,HV FOXTROT,203.5 PL,,FM,BM,Ham
146.52,0,,,HV CALL,HV CALL,CSQ,,FM,BM,Ham
146.565,0,,,HV DELTA,HV DELTA,203.5 PL,,FM,BM,Ham
146.595,0,,,HV GOLF,HV GOLF,203.5 PL,,FM,BM,Ham
147.435,0,,,HV CHARLIE,HV CHARLIE,203.5 PL,,FM,BM,Ham
147.465,0,,,HV JULIET,HV JULIET,203.5 PL,,FM,BM,Ham
147.495,0,,,HV ECHO,HV ECHO,203.5 PL,,FM,BM,Ham
147.525,0,,,HV ALAPHA,HV ALAPHA,203.5 PL,,FM,BM,Ham
147.555,0,,,HV HOTEL,HV HOTEL,203.5 PL,,FM,BM,Ham
151.1375,0,MANY,,VTAC11,VTAC11,156.7 PL,,FMN,BM,Interop
152.0075,0,MANY,,Hospital paging,HOSP PAGING,CSQ,,FMN,B,Hospital
154.295,0,MANY,,STATE FIRE/VFIRE23,SFIRE/VFIRE23,156.7 PL,,FMN,BM,Interop
154.4525,0,MANY,,VTAC12,VTAC12,156.7 PL,,FMN,BM,Interop
155.28,0,MANY,,EMS,STATE EMS 6,,,FMN,BM,Hospital
155.325,0,MANY,,Statewide EMS HEAR 2,STATE EMS 2,,,FMN,BM,Hospital
155.34,0,MANY,,V MED 28 - Statewide EMS - Lifeflight,V MED 28,156.7 PL,,FMN,BM,Hospital
155.34,0,MANY,,Statewide EMS HEAR 1 - Lifeflight,STATE EMS 1,210.7 PL,,FM,BM,Hospital
155.34,0,MANY,,VMED28,VMED28,156.7 PL,,FMN,BM,Interop
155.355,0,MANY,,Statewide EMS HEAR 3,STATE EMS 3,,,FMN,BM,Hospital
155.37,0,MANY,,MNCOMM/POINT,MNCOMM/POINT,156.7 PL,,FMN,BM,Interop
155.385,0,MANY,,Statewide EMS HEAR 4,STATE EMS 4,,,FMN,BM,Hospital
155.4,0,MANY,,Statewide EMS HEAR 5 / Lifeflight,STATE EMS 5,,,FMN,BM,Hospital
155.475,0,MANY,,MNSEF/VLAW31,MNSEF/VLAW31,156.7 PL,,FMN,BM,Interop
155.7525,0,MANY,,VCALL10,VCALL10,156.7 PL,,FMN,BM,Interop
158.7375,0,MANY,,VTAC13,VTAC13,156.7 PL,,FMN,BM,Interop
159.4725,0,MANY,,VTAC14,VTAC14,156.7 PL,,FMN,BM,Interop
163.1,0,,,MN Tanker Base Ramp Frequency,TANK BASE RP,,,FMN,BM,Federal
163.25,0,MANY,,Hospital paging,HOSP PAGING,,,FMN,B,Hospital
168.55,0,,,ICS Air-Ground,ICS  AG,,,FMN,BM,Federal
168.625,0,,,Air Guard,GUARD,,,FMN,BM,Federal
441.05,0,,,HU APRS,HU APRS,CSQ,,FM,BM,Data
442.3,0,,,HU ALAPHA,HU ALAPHA,203.5 PL,,FM,BM,Ham
443,0,,,HU CHARLIE,HU CHARLIE,203.5 PL,,FM,BM,Ham
444.325,0,,,HU BRAVO,HU BRAVO,203.5 PL,,FM,BM,Ham
444.725,0,,,HU ECHO,HU ECHO,203.5 PL,,FM,BM,Ham
445.975,0,,,HU FOXTROT,HU FOXTROT,203.5 PL,,FM,BM,Ham
446,0,,,HU CALL,HU CALL,CSQ,,FM,BM,Ham
446.025,0,,,HU DELTA,HU DELTA,203.5 PL,,FM,BM,Ham
446.2,0,,,HU DATA,HU DATA,CSQ,,FM,BM,Data
769.00625,0,WQSX332,,7SOA01,7SOA01,293 NAC,,P25,M,Interop
769.01875,0,WQSX332,,7SOA02,7SOA02,293 NAC,,P25,M,Interop
769.03125,0,WQSX332,,7SOA03,7SOA03,293 NAC,,P25,M,Interop
769.04375,0,WQSX332,,7SOA04,7SOA04,293 NAC,,P25,M,Interop
769.05625,0,WQSX332,,7SOA05,7SOA05,293 NAC,,P25,M,Interop
769.06875,0,WQSX332,,7SOA06,7SOA06,293 NAC,,P25,M,Interop
774.93125,0,WQSX332,,7SOA07,7SOA07,293 NAC,,P25,M,Interop
774.94375,0,WQSX332,,7SOA08,7SOA08,293 NAC,,P25,M,Interop
774.95625,0,WQSX332,,7SOA09,7SOA09,293 NAC,,P25,M,Interop
774.96875,0,WQSX332,,7SOA10,7SOA10,293 NAC,,P25,M,Interop
774.98125,0,WQSX332,,7SOA12,7SOA11,293 NAC,,P25e,M,Interop
774.99375,0,WQSX332,,7SOA12,7SOA12,293 NAC,,P25e,M,Interop
853.925,0,WPUC277,,8-SOA-1,8-SOA-1,293 NAC,,P25,M,Interop
853.9375,0,WPUC277,,8-SOA-2,8-SOA-2,293 NAC,,P25,M,Interop
853.95,0,WPUC277,,8-SOA-3,8-SOA-3,293 NAC,,P25,M,Interop
853.9625,0,WPUC277,,8-SOA-4,8-SOA-4,293 NAC,,P25,M,Interop
853.975,0,WPUC277,,SOA F1,F-SOA-1,293 NAC,,P25,M,Interop
853.9875,0,WPUC277,,SOA F2,F-SOA-2,293 NAC,,P25,M,Interop
