Output Freq,Input Freq,Offset,Uplink Tone,Downlink Tone,Call,Location,County,State,Modes,Digital Access
145.21,144.61,-,114.8,114.8,W0ICR,Crown,Isanti,Minnesota,FM ,
145.25,144.65,-,,,KB0YHX,"Cloquet, MN - Community Memorial Hospital",Carlton,Minnesota,Fusion ,
145.27,144.67,-,D172,D172,KD0YLG,Paynesville,Stearns,Minnesota,FM AllStar EchoLink ,
145.35,144.75,-,141.3,,KD0JOU,Milaca,Mille Lacs,Minnesota,FM ,
145.35,144.75,-,123,,W0ILO,Moorhead,Clay,Minnesota,FM ,
145.49,144.89,-,146.2,146.2,K0SCA,Big Lake,Sherburne,Minnesota,FM ,
145.49,144.89,-,100,,K0HNY,Owatonna,Steele,Minnesota,FM EchoLink ,
146.64,146.04,-,151.4,,N0OIW,Ely,St Louis,Minnesota,FM ,
146.64,146.04,-,146.2,146.2,W0ICR,Isanti,Isanti,Minnesota,FM ,
146.64,146.04,-,100,100,W0NE,Winona,Winona,Minnesota,FM Fusion ,
146.7,146.1,-,127.3,127.3,WC0HC,Minneapolis,Hennepin,Minnesota,FM ,
146.73,146.13,-,123,123,W0BJI,Bemidji,Beltrami,Minnesota,FM EchoLink ,
146.76,146.16,-,114.8,114.8,W0EF,Saint Louis Park,Hennepin,Minnesota,FM EchoLink ,
146.805,146.205,-,141.3,141.3,KC0QNA,Gaylord - Water Tower,Sibley,Minnesota,FM P-25 ,293
146.865,146.265,-,141.3,141.3,KB0CGJ,Wabasso,Redwood,Minnesota,FM EchoLink ,
146.91,146.31,-,146.2,146.2,KD0CI,Duxbury,Pine,Minnesota,FM ,
146.91,146.31,-,100,100,W0SW,Willmar,Kandiyohi,Minnesota,FM ,
146.925,146.325,-,CSQ,CSQ,N0WN,Deer Creek - Water Tower,Otter Tail,Minnesota,FM ,
146.94,146.34,-,100,100,W0SV,Collegville - St Johns University,Stearns,Minnesota,FM ,
146.94,146.34,-,141.3,141.3,WA0CJU,Waseca - Water Tower,Waseca,Minnesota,FM Fusion WIRES-X ,
146.97,146.37,-,,114.8,K0CJD,Elk River,Sherburne,Minnesota,FM ,
146.97,146.37,-,131.8,131.8,W9UP,La Crescent,Houston,Minnesota,FM Fusion WIRES-X ,
147,147.6,+,114.8,114.8,K0LTC,Maple Plain,Hennepin,Minnesota,FM ,
147.015,147.615,+,100,100,W0SV,Collegeville,Stearns,Minnesota,FM ,
147.015,147.615,+,110.9,,W0VGW,Wykoff,Fillmore,Minnesota,FM EchoLink ,
147.06,147.66,+,110.9,,KC0IPA,Duluth,St Louis,Minnesota,FM ,
147.06,147.66,+,103.5,,K5PFF,Virginia,St Louis,Minnesota,FM ,
147.09,147.69,+,114.8,,N0BZZ,Silver Bay,Lake,Minnesota,FM ,
147.09,147.69,+,123,,KC0IGT,Wannaska,Roseau,Minnesota,FM EchoLink ,
147.105,147.705,+,85.4,,K0STC,Avon,Stearns,Minnesota,FM EchoLink ,
147.12,147.72,+,123,CSQ,N0WN,Bertha - Water Tower,Todd,Minnesota,FM ,
147.165,147.765,+,114.8,,KB0QYC,Coleraine,Itasca,Minnesota,FM ,
147.195,147.795,+,151.4,151.4,K0VRC,Ely - Water Tower,St Louis,Minnesota,FM EchoLink Fusion WIRES-X ,
147.21,147.81,+,100,100,W0BU,Burnsville,Dakota,Minnesota,FM ,
147.24,147.84,+,156.7,,N0BZZ,Aurora,St Louis,Minnesota,FM ,
