Decimal,Hex,Alpha Tag,Mode,Description,Tag,Category
2,002,"SW IA MA 1","D","Interagency Mutual Aid 1","Interop","Statewide Interoperability "
3,003,"STATE TAC","D","Statewide Tac","Multi-Tac","Statewide Interoperability "
4,004,"SYSTECH 4","DE","System Technicians 4","Public Works","Minnesota Department of Public Safety - Emergency Communications"
6,006,"STAC 1","D","Statewide Tactical 1","Interop","Statewide Interoperability "
7,007,"SITE TRUNK","D","Site Trunking Talkgroup","Multi-Tac","Statewide Interoperability "
8,008,"STAC 2","D","Statewide Tactical 2","Interop","Statewide Interoperability "
9,009,"NWS CHANHSN","D","NWS Chanhassen","Emergency Ops","National Weather Service"
11,00b,"STAC14E","DE","Statewide Tactical 14","Interop","Statewide Interoperability "
12,00c,"DEPT ADM","D","Dept. Of Administration","Public Works","Minnesota Misc. State Agencies"
13,00d,"STAC13E","DE","Statewide Tactical 13","Interop","Statewide Interoperability "
22,016,"ME TAC 5","D","Metro Tactical 5","Interop","Zone 1 Interoperability Metro"
24,018,"ME TAC 6","D","Metro Tactical 6","Interop","Zone 1 Interoperability Metro"
26,01a,"ME TAC 7","D","Metro Tactical 7","Interop","Zone 1 Interoperability Metro"
28,01c,"ME TAC 8","D","Metro Tactical 8","Interop","Zone 1 Interoperability Metro"
30,01e,"ST FIRE TAC","D","State Fire Tac","Interop","Statewide Interoperability "
32,020,"ME TAC 1","D","Metro Tactical 1","Interop","Zone 1 Interoperability Metro"
34,022,"ME TAC 2","D","Metro Tactical 2","Interop","Zone 1 Interoperability Metro"
36,024,"ME TAC 3","D","Metro Tactical 3","Interop","Zone 1 Interoperability Metro"
38,026,"ME TAC 4","D","Metro Tactical 4","Interop","Zone 1 Interoperability Metro"
39,027,"EMSAIRCOM","D","Helicopter Communication Centers Common","Interop","Statewide Interoperability "
40,028,"SYSTECH 40","DE","System Technicians 40","Public Works","Minnesota Department of Public Safety - Emergency Communications"
44,02c,"STWD COML","D","Statewide Communications Leader","Emergency Ops","Minnesota Department of Public Safety - Emergency Communications"
46,02e,"SEMTAC","D","Statewide Emergency Management Talkgroup","Emergency Ops","Statewide Interoperability "
48,030,"METCOM","D","Metcom","Interop","Zone 1 Interoperability Metro"
50,032,"MSP 2500 ALL","D","West Metro Emergency All Call","Law Tac","Minnesota Department of Public Safety - State Patrol"
52,034,"MSP 2400 ALL","D","East Metro Emergency All Call","Law Tac","Minnesota Department of Public Safety - State Patrol"
54,036,"MSP 2500 DSP","D","West Metro "2500" Dispatch","Law Dispatch","Minnesota Department of Public Safety - State Patrol"
55,037,"MSP 2500 RM","D","West Metro "2500" Roaming","Law Dispatch","Minnesota Department of Public Safety - State Patrol"
56,038,"MSP 2500 T 3","DE","West Metro "2500" Tac 3","Law Tac","Minnesota Department of Public Safety - State Patrol"
58,03a,"MSP 2500 T 1","D","West Metro "2500" Tac 1","Law Tac","Minnesota Department of Public Safety - State Patrol"
60,03c,"MSP 2500 T 2","D","West Metro "2500" Tac 2","Law Tac","Minnesota Department of Public Safety - State Patrol"
62,03e,"MSP 2510","D","West Metro 2510 Station","Law Talk","Minnesota Department of Public Safety - State Patrol"
64,040,"MSP 2520","D","West Metro 2520 Station","Law Talk","Minnesota Department of Public Safety - State Patrol"
66,042,"MSP 2540","D","West Metro 2540 Station","Law Talk","Minnesota Department of Public Safety - State Patrol"
68,044,"MSP 4550","D","Metro 4550 Station","Law Talk","Minnesota Department of Public Safety - State Patrol"
70,046,"MSP 4560","D","Metro 4560 Station","Law Talk","Minnesota Department of Public Safety - State Patrol"
72,048,"MSP 4570","D","West Metro 4580 Beat","Law Talk","Minnesota Department of Public Safety - State Patrol"
73,049,"MSP 4580","D","Metro 4570 Station 2","Law Talk","Minnesota Department of Public Safety - State Patrol"
74,04a,"MSP 2400 DSP","D","East Metro "2400" Dispatch","Law Dispatch","Minnesota Department of Public Safety - State Patrol"
75,04b,"MSP 2400 RM","D","East Metro "2400" Roaming","Law Dispatch","Minnesota Department of Public Safety - State Patrol"
76,04c,"MSP 2400 T 3","D","East Metro "2400" Tac 3","Law Tac","Minnesota Department of Public Safety - State Patrol"
78,04e,"MSP 2400 T 1","D","East Metro "2400" Tac 1","Law Tac","Minnesota Department of Public Safety - State Patrol"
80,050,"MSP 2400 T 2","D","East Metro "2400" Tac 2","Law Tac","Minnesota Department of Public Safety - State Patrol"
82,052,"MSP 2410","D","East Metro 2410 Station","Law Talk","Minnesota Department of Public Safety - State Patrol"
84,054,"MSP 2430","D","East Metro 2430 Station","Law Talk","Minnesota Department of Public Safety - State Patrol"
86,056,"MSP 2440","D","East Metro 2440 Station","Law Talk","Minnesota Department of Public Safety - State Patrol"
88,058,"MSP 4450","D","Metro 4450 Station","Law Talk","Minnesota Department of Public Safety - State Patrol"
90,05a,"MSP 4460","D","Metro 4460 Station","Law Talk","Minnesota Department of Public Safety - State Patrol"
